property_area_sqft,bedrooms,bathrooms,floors,year_built,property_age,renovation_status,lot_size,distance_city_center_km,neighborhood_quality_score,crime_rate_index,nearby_school_rating,hospital_proximity_km,shopping_center_proximity_km,public_transport_score,parking_availability,property_type,construction_quality_rating,energy_efficiency_score,water_supply_reliability,electricity_supply_reliability,internet_availability_score,green_space_index,flood_risk_index,noise_pollution_level,sale_price
1710,3,2.5,2,2003,22,0,8450,19.87118918919208,7,4.55424502453378,3.721159095342699,1.5648150243666021,1.0639540553688964,4.190652728341466,1,1Fam,7,4.278392575441813,5.431253206239932,6.466146030748443,4.179682300003352,6.765684279020975,1.5526378790662667,5.451379361971741,208500
1262,3,2.0,1,1976,49,0,9600,15.532887403165441,6,7.107237945492651,1.8588753422610906,1.2071047655648466,5.627096015259445,5.05078173263857,1,1Fam,6,5.4997536541865575,1.0646115971383932,4.433278227964718,3.7646706306950675,9.782523741234671,5.574072342101271,8.185936422805641,181500
1786,3,2.5,2,2001,24,1,11250,5.121310182715479,7,1.7574540487648327,9.424058636786173,9.480745978729114,3.0856313079282347,1.5279990535059338,1,1Fam,7,9.366715353774048,5.163723682114571,1.9866572045274666,3.5691487743406993,3.2981254796486064,9.550575701257094,6.28096082306127,223500
1717,3,1.0,2,1915,110,1,9550,7.39551728842968,7,3.388692311007321,7.71261244681105,7.024144201555223,3.2678976406802898,3.068182776159534,1,1Fam,7,8.812935379635565,6.765890004882389,2.5975736939560843,7.366116965218389,4.58364305968753,2.925273627817041,3.576053251990963,140000
2198,4,2.5,2,2000,25,0,14260,15.398151685690602,8,5.825421472162258,7.495385590649421,5.118292782829601,6.439878934675793,5.172227764254427,1,1Fam,8,7.730726090779933,8.59648609057474,2.8154323384723425,2.2340136845725427,7.674594676362384,8.266945172219307,2.0739712174125473,250000
1362,1,1.5,2,1993,32,1,14115,15.258527912481314,5,5.697960218623831,4.924965228431363,9.04829170581598,0.6844541298831498,5.163393216133255,1,1Fam,5,5.723940156662785,4.797145985352479,6.577865024292408,1.4342650170978333,8.641005778729891,4.4115144456673105,5.116515453084833,143000
1694,3,2.0,1,2004,21,1,10084,19.952967255394487,8,9.034954964455714,7.877032807317486,5.627566536705647,3.731459662114799,7.076012235248843,1,1Fam,8,8.85474189409926,8.604259331717513,5.849866541839212,1.47726426330146,6.1975078773360766,6.4804176143202925,8.058122841080566,307000
2090,3,2.5,2,1973,52,0,10382,13.849556834713614,7,9.5270739354896,1.9026965951058927,4.847215872832149,1.9786657101404341,3.9581592926225504,1,1Fam,7,5.2537716400624745,9.27133540239317,4.334523830096654,9.46666181078486,4.307172411158588,9.013123650293615,7.977374207932857,200000
1774,2,2.0,2,1931,94,1,6120,5.487016812974769,7,1.2403566352632067,1.3434931840142263,3.25735090373418,3.8289221850720976,2.7543965847676635,1,1Fam,7,6.223767205090072,6.841490190700789,2.2002991192413868,8.186673681948108,9.72788696983307,4.414554795690377,6.0330303460378385,129900
1077,2,1.0,1,1939,86,1,7420,5.674160222218984,5,7.74507708733844,3.6621999745972786,4.22156182589427,7.439379899376184,8.843378190796148,1,2fmCon,5,8.594812776331294,4.7861840409147405,6.577603929685379,5.008454374295609,7.373785187876608,4.604431530323751,1.0169963505314232,118000
1040,3,1.0,1,1965,60,0,11200,1.7651089483243059,5,1.409918002466576,7.372614968096217,1.5967894003333225,6.457895949227952,8.089441152198539,1,1Fam,5,4.415692201461695,6.573189579826262,6.0274285530798375,2.1508003780802922,1.267487024315276,9.9166084573645,1.960553844340276,129500
2324,4,3.0,2,2005,20,1,11924,3.472909560874873,9,9.752410094029901,6.878670844729516,4.49070810268827,2.6394413360284545,4.7668620762839495,1,1Fam,9,1.6477639128181996,6.2461182834049325,9.15705085059593,3.6719907894046333,1.1138071616684213,3.995100881772606,8.547206112079532,345000
912,2,1.0,1,1962,63,0,12968,8.086074753625493,5,1.2817449785745287,2.4088648713122875,9.416011473614406,2.823639055112448,4.826049132868324,1,1Fam,5,5.4237329659992835,7.8082809290018815,3.709941858935439,1.0232867052592076,3.7378298184800114,2.884503810757629,6.260087898567775,144000
1494,3,2.0,1,2006,19,1,10652,8.798915265685306,7,1.8326351247310106,5.243796860486152,0.5432323925561866,7.908913987112981,4.17404347718486,1,1Fam,7,3.411395070665468,4.362486249594211,4.633908057065655,2.9020122945948317,1.2557692055232046,6.199897516570667,9.446435262950924,279500
1253,2,1.5,1,1960,65,0,10920,17.91729378026375,6,6.0699477361306196,4.6932104891788935,9.110080442042129,2.054819684703272,9.244090763176683,1,1Fam,6,2.941493815329054,9.485554551211981,1.3657588157618745,7.949447197832141,8.29681985724514,7.285647032479433,2.1710899014715417,157000
854,2,1.0,1,1929,96,1,6120,6.171950429807678,7,4.256183747906616,7.4341737058962085,4.156962882528507,2.3901053140165174,4.3668197303097624,1,1Fam,7,6.677140279400893,5.113308588629609,2.18977835874747,8.151070716772034,4.038282698021429,3.3487062801567737,7.870211392454999,132000
1004,2,1.0,1,1970,55,0,11241,5.925132033533999,6,9.539109443469394,4.789200048386953,9.907813961266278,7.4197098467349525,2.806052777836398,1,1Fam,6,7.67421306156053,4.820456507399097,9.868008835636148,9.245832108705013,2.6491343997392964,3.0394359384307976,6.140250850072199,149000
1296,2,2.0,1,1967,58,0,10791,14.713099164860589,4,7.114872566557168,3.914678820843786,3.0966668776402333,4.774416613390861,7.2962614813719044,1,Duplex,4,5.9496932000539475,8.993557343510542,2.614207937108063,8.925521548754599,8.138700796274032,3.3335597717471295,6.111380546842684,90000
1114,3,1.5,1,2004,21,0,13695,10.16491495806083,5,8.086066438893964,4.110980518298626,2.7895758296270405,3.4621851124891867,3.150237936281577,1,1Fam,5,9.694426818138961,9.987497043377504,7.452351311833285,1.5294674611993737,2.5593621235852986,4.736977215571995,8.811647944260704,159000
1339,3,1.0,1,1958,67,1,7560,4.1808208379358165,5,7.880880396300789,9.73645887791823,1.7679139515929367,2.9008639565789878,3.8957752570561484,1,1Fam,5,8.940157822270747,5.758712158746952,6.689738537098965,9.602576847214392,3.846111333538069,8.744927583971853,6.625272486313486,139000
2376,4,3.5,2,2005,20,1,14215,2.162834021550496,8,8.673089112627068,2.0266359689546674,4.7775163456938055,1.2356891160964676,2.3708608347765,1,1Fam,8,2.364372147844193,6.6384701422460015,3.8302598528054808,3.1411633941485566,2.1455996320274426,6.885464260062528,5.6347994028932895,325300
1108,3,1.0,1,1930,95,1,7449,6.9421809360018045,7,1.8335874721017076,2.282807971202204,1.2713185286395543,6.997658176014664,4.049661839373418,1,1Fam,7,1.2615294194924567,6.061859765497919,3.235392447694789,3.941020892301707,3.758219189539749,8.647126934987924,1.871457917944353,139400
1795,3,2.0,1,2002,23,0,9742,6.690510163561602,8,8.323774739035448,3.7370679885313387,4.4881001300018575,5.532028350157392,6.098230174205377,1,1Fam,8,2.3018988486126952,8.30495923060503,7.069859687976531,7.834202145542523,3.8747711087654038,3.702528273432502,3.5967204045978245,230000
